uniprot_id,gene_name,protein_name,seq_length,embed_idx
A0A655CNI8,ERS007661_01655,Uncharacterized protein,60,867
A0A655HVJ9,ribG,Riboflavin biosynthesis protein RibG,142,868
A0A0U0QSA3,ERS007657_00578,Uncharacterized protein,238,869
A0A655AIW8,ERS007681_04596,Uncharacterized protein,98,870
A0A0T9DPJ9,ERS007661_03647,Uncharacterized protein,180,871
A0A0T9YR16,ERS007681_02298,Uncharacterized protein,88,872
A0A655JSU2,ERS007657_03996,Uncharacterized protein,131,873
A0A654ZG76,ERS007661_02112,Conserved exported or membrane protein of uncharacterized function,73,874
A0A655DSU0,ERS007681_03137,Secreted protein,73,875
A0A654U3F5,ERS007657_02822,Uncharacterized protein,60,876
A0A655IQ64,ERS007661_00047,PE-PGRS family protein,121,877
A0A0T7LZN2,ERS007657_01212,Uncharacterized protein,293,878
A0A654ZLC6,ERS007720_02479,Uncharacterized protein,329,879
A0A655FD36,pknH,Putative transmembrane serine/threonine-protein kinase H pknH,222,880
A0A0T9VJL3,ERS007679_02102,Uncharacterized protein,236,881
A0A654ZPS2,ERS007657_02118,Uncharacterized protein,145,882
A0A655FJU1,eccA1_2,ESX-1 secretion system protein EccA1,301,883
A0A0T7LQ35,ERS007681_04421,Uncharacterized protein,86,884
A0A0U0RPE3,ERS007661_00596,Uncharacterized protein,158,885
A0A655F8T9,ERS007661_02672,Uncharacterized protein,67,886
A0A655FGN8,ERS007679_01789,LuxR family transcriptional regulator,121,887
A0A654TCV1,ERS007681_03426,Uncharacterized protein,144,888
A0A0U0T0W9,ERS007679_03699,Uncharacterized protein,193,889
A0A655A329,ERS007681_01959,Uncharacterized protein,61,890
A0A654TSF0,PE_PGRS16,PE-PGRS family protein,260,891
A0A655FGW3,ERS007657_00089,Secreted protein,134,892
A0A654TFN1,moaC,Molybdenum cofactor biosynthesis protein MoaC,72,893
A0A655CNF6,ERS007661_01257,Uncharacterized protein,278,894
A0A0T9C5A4,ERS007657_02687,Uncharacterized protein,95,895
A0A655E4V0,ERS007657_02479,Secreted protein,75,896
A0A655JPD3,recD,Exonuclease V subunit alpha,126,897
A0A0T9CAM3,ERS007661_00925,Uncharacterized protein,145,898
A0A655E3K5,ERS007657_01092,GLTT repeat protein,129,899
A0A655ANZ2,ERS007688_00304,4-amino-4-deoxychorismate lyase,166,900
A0A0U0QZQ6,ERS007703_01641,Two component sensor kinase,80,901
A0A654TLW2,ERS007681_00523,Uncharacterized protein,53,902
A0A655F4U3,ERS007661_02472,Phenolpthiocerol synthesis type-I polyketide synthase ppsA,218,903
A0A654U6Q0,ERS007657_04013,Uncharacterized protein,79,904
A0A655DKR3,ERS007657_00015,Uncharacterized protein,221,905
A0A654ZY62,ERS007679_04337,Uncharacterized protein,105,906
A0A0T7M170,ERS007661_00838,Uncharacterized protein,133,907
A0A655FX27,ERS007657_03686,Uncharacterized protein,108,908
A0A654ZSQ9,ERS007718_00434,F420 biosynthesis protein fbiB,261,909
A0A655IS82,ERS007720_04857,Uncharacterized protein,75,910
A0A654ZB94,ERS007657_00922,Uncharacterized protein,112,911
A0A655ALJ2,ERS007739_02393,Uncharacterized protein,75,912
A0A655FSN1,ERS007657_02406,Beta-lactamase,94,913
A0A0T9CBD1,ERS007657_01712,Uncharacterized protein,87,914
A0A654TP95,menH,Menaquinone biosynthesis protein MenH,125,915
A0A0U0QH18,ERS007661_00914,Uncharacterized protein,158,916
A0A655AS10,ERS007661_01064,Uncharacterized protein,95,917
A0A654U3D3,ERS007657_02801,Uncharacterized protein,58,918
A0A654TYV6,ERS007657_01266,Exported repetitive protein PirG,130,919
A0A655JNC3,ERS007679_04150,Oxidoreductase,117,920
A0A655JB12,ERS007741_02877,Uncharacterized protein,229,921
A0A654TA94,ERS007679_04681,Uncharacterized protein,78,922
A0A654TVM6,ERS007661_03296,Uncharacterized protein,52,923
A0A655D8W6,ERS007661_00787,Uncharacterized protein,96,924
A0A0U0R9K3,mutB,Methylmalonyl-CoA mutase,187,925
A0A655IRL5,rarA,Recombination factor protein RarA,209,926
A0A655IKL8,ERS007739_00220,Uncharacterized protein,149,927
A0A654TRY3,ERS007657_01897,Uncharacterized protein,197,928
A0A655I4H6,ERS007661_04400,Uncharacterized protein,87,929
A0A655J4F8,ERS007657_00316,Uncharacterized protein,75,930
A0A654TLG1,ERS007681_02165,Uncharacterized protein,71,931
A0A655JJW0,yncA,[Ribosomal protein bS18]-alanine N-acetyltransferase,107,932
A0A654ZZ69,ERS007661_02778,Uncharacterized protein,58,933
A0A0U0T045,miaA,tRNA delta(2)-isopentenylpyrophosphate transferase,152,934
A0A654TS02,ERS007688_03588,Uncharacterized protein,118,935
A0A0U0QIQ7,ERS007657_00745,Transposase family protein,88,936
A0A0T9X1X9,cut2,Cutinase,181,937
A0A655J3H0,ERS007661_00788,Uncharacterized protein,265,938
A0A654TCQ0,ERS007661_03565,Uncharacterized protein,120,939
A0A0T9P3J2,ERS007741_00972,Uncharacterized protein,68,940
A0A0T9FQJ3,eccB2,ESX-2 secretion system protein eccB2,218,941
A0A0U0T8N5,ERS007679_04406,Uncharacterized protein,51,942
A0A0T9DZT7,ERS007681_03871,Uncharacterized protein,103,943
A0A654ZVT2,ERS007657_01261,Uncharacterized protein,243,944
A0A0U0TG22,ERS007679_01355,Uncharacterized protein,91,945
A0A0T9EK91,ERS007661_01987,PE family protein,88,946
A0A655DHZ9,ERS007661_04041,Uncharacterized protein,87,947
A0A654ZIT7,ERS007657_03085,Uncharacterized protein,217,948
A0A0T9XK46,ERS007703_03146,Uncharacterized protein,62,949
A0A0U0R448,ERS007703_01865,Zinc-binding dehydrogenase,145,950
A0A655FPK8,ERS007679_03973,Uncharacterized protein,143,951
A0A654ZW98,ERS007688_02340,Uncharacterized protein,117,952
A0A655JMK7,pknJ,Ser/Thr protein kinase J,246,953
A0A0U0REE6,ERS007657_04237,Uncharacterized protein,93,954
A0A655FCI8,pks7,Polyketide synthase,145,955
A0A655FRM4,hycG,Oxidoreductase,79,956
A0A0E8V4B7,cbiX_2,Cobalamin (Vitamin b12) biosynthesis cbix protein,270,957
A0A0U0TEJ5,ERS007657_02677,Uncharacterized protein,79,958
A0A655EDA5,ERS007661_03632,Uncharacterized protein,201,959
A0A0E8VDB3,A4S10_03922,Antitoxin,96,960
A0A0E8X3R7,A4S10_02016,Uncharacterized protein,60,961
A0A655AIR6,ERS007657_01100,Uncharacterized protein,221,962
A0A0T9ZNH7,ERS007703_04650,Transmembrane protein,207,963
A0A0E7XKY8,A4S10_02418,Uncharacterized protein,52,964
A0A0T9Y9X8,ERS007657_04018,Secreted protein,87,965
A0A0T9F9X6,cfa-1,Cyclopropane-fatty-acyl-phospholipid synthase,165,966
A0A654T555,ERS007661_01407,Nucleoside diphosphate-linked moiety X motif19,179,967
A0A655J2X8,ERS007679_03497,Uncharacterized protein,119,968
A0A654TQY4,ERS007657_03141,Uncharacterized protein,179,969
A0A655IY83,ERS007657_03678,Uncharacterized protein,82,970
A0A655CLL2,ERS007661_01897,PPE family protein,53,971
A0A654ZXX3,ophA1,Oxidoreductase,71,972
A0A654TT55,pepQ,Dipeptidase pepE,173,973
A0A654U317,ERS007657_02856,Metallo-beta-lactamase superfamily protein,123,974
A0A654TJH2,pks5-1_3,Polyketide synthase pks5,88,975
A0A0T9X4C8,ERS007661_00344,Uncharacterized protein,284,976
A0A654U090,ERS007657_01782,Exported repetitive protein PirG,64,977
A0A0U0R2H1,ERS007703_01773,Uncharacterized protein,96,978
A0A0T9CQV1,ERS007661_02456,GntR family transcriptional regulator,97,979
A0A655A8P6,ERS027646_01343,Uncharacterized protein,69,980
A0A655IE74,ERS007679_04695,Membrane-anchored mycosin mycP3,68,981
A0A0U0TDU8,ERS007681_00271,Transposase,169,982
A0A654ZUB8,ERS007657_01817,PE family protein,52,983
A0A0T9YUI1,ERS007679_01261,Uncharacterized protein,123,984
A0A0T7LKD2,ERS007657_02738,Secreted protein,94,985
A0A0E7SMN2,A4S10_04017,Uncharacterized protein,77,986
A0A655I926,ERS007681_03802,Uncharacterized protein,246,987
A0A655DPP0,ERS007657_02827,Uncharacterized protein,65,988
A0A655CK41,mlaE_2,Integral membrane protein YrbE1a,159,989
A0A655DUQ5,ERS007657_00554,Uncharacterized protein,127,990
A0A655EC10,ERS007657_03860,Uncharacterized protein,56,991
A0A655FZQ2,argD,Acetylornithine aminotransferase,105,992
A0A0T9XHA4,ERS007657_01120,Uncharacterized protein,366,993
A0A655JGM7,ERS007657_02409,PE family protein,60,994
A0A0T7M1Z5,CAB90_03281,Uncharacterized protein,81,995
A0A655EPW1,amiB2,amidase,110,996
A0A655JCU4,ERS007679_00299,Uncharacterized protein,61,997
A0A654TGC4,ERS007661_04301,Uncharacterized protein,56,998
A0A655CXD4,ERS007657_04132,Secreted protein,88,999
A0A0T9EGL7,ERS007661_02159,Uncharacterized protein,223,1000
A0A0T9XKM2,ERS007661_01011,Uncharacterized protein,90,1001
A0A0T9FJI1,ERS007657_03580,Uncharacterized protein,167,1002
A0A0T9YL29,ERS007718_03653,PE-PGRS family protein,55,1003
A0A0U0TBX3,ERS007657_03785,Methyltransferase,157,1004
A0A654TDN5,ERS007681_03569,Uncharacterized protein,174,1005
A0A654U2U0,ERS007657_02695,PE family protein,117,1006
A0A0T9G6U5,CAB90_03168,Uncharacterized protein,62,1007
A0A655APZ5,ERS007739_04422,Transport permease protein,129,1008
A0A655E1S7,ERS007720_02676,Uncharacterized protein,130,1009
A0A655J2L7,ERS007688_03063,Uncharacterized protein,70,1010
A0A654TS14,ERS007688_03603,Uncharacterized protein,82,1011
A0A655IQI9,hisA,Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase HISA,91,1012
A0A655A478,ERS007679_00143,Uncharacterized protein,85,1013
A0A654ZCP0,ERS007657_02128,Uncharacterized protein,56,1014
A0A0U0QYZ2,lprM,Putative MCE-family lipoprotein LPRM,230,1015
A0A654TY51,ERS007657_00974,Uncharacterized protein,101,1016
A0A655HLT9,ERS007679_00094,Uncharacterized protein,57,1017
A0A654T684,ERS007657_01949,Uncharacterized protein,77,1018
A0A0U0RYY8,ruvA,Holliday junction DNA helicase RUVA,85,1019
A0A654TSI9,ERS007657_01628,Mce associated alanine and valine rich protein,156,1020
A0A655IAN9,ERS007661_00813,Uncharacterized protein,53,1021
A0A0E8VA61,A4S10_01600,Methyltransferase family protein,82,1022
A0A655JE82,pknE_2,Transmembrane serine/threonine-protein kinase E pknE,171,1023
A0A0U0TA55,ERS007703_05162,Uncharacterized protein,76,1024
A0A655JRW7,ERS007661_04194,Uncharacterized protein,96,1025
A0A075ZGB8,accA1,Propionyl-CoA carboxylase subunit alpha,145,1026
A0A0T9EDX7,ERS007657_02335,Uncharacterized protein,66,1027
A0A655J648,ERS007679_02004,Hydrolase,114,1028
A0A654U2Y4,ERS007657_02659,Uncharacterized protein,146,1029
A0A655JJ61,ERS007657_03879,Uncharacterized protein,76,1030
A0A655HWZ7,pks4,Putative polyketide beta-KETOacyl synthase PKS4,261,1031
A0A654U5H9,ERS007657_03647,Uncharacterized protein,97,1032
A0A0U0QXX3,puo,Amine oxidase,317,1033
A0A655FWU1,ERS007661_03862,Uncharacterized protein,87,1034
A0A654THP1,ERS007679_03525,GDT1 family protein,222,1035
A0A655ASU3,ERS007681_02016,Uncharacterized protein,143,1036
A0A0T9CT67,ERS007657_02107,Uncharacterized protein,81,1037
A0A655J4W4,fgd2,F420-dependent glucose-6-phosphate dehydrogenase,81,1038
A0A655DT71,ERS007661_01971,Uncharacterized protein,198,1039
A0A655ETI3,ERS007661_02185,Transmembrane protein,63,1040
A0A0U0RSY9,ERS007679_00117,Quinone oxidoreductase,60,1041
A0A0T9XRK9,ERS007661_00605,Uncharacterized protein,103,1042
A0A0T7PMF4,cobK,Putative precorrin-6X reductase CobK,118,1043
A0A0E7ZFA4,A4S10_00498,"1,4-Dihydroxy-2-naphtoate prenyltransferase (Part2)",94,1044
A0A0T7LZY5,ERS007657_03739,Uncharacterized protein,54,1045
A0A654TWJ1,secE1,Protein translocase subunit SecE,80,1046
A0A655FUQ0,ilvX,acetolactate synthase,115,1047
A0A655A188,ERS007657_03213,Uncharacterized protein,111,1048
A0A655IUU5,pykA,Pyruvate kinase,356,1049
A0A655JG14,argS,arginine--tRNA ligase,390,1050
A0A655ICE6,ERS007661_01970,Uncharacterized protein,127,1051
A0A655DKR1,ERS007661_01096,Uncharacterized protein,75,1052
A0A066S195,A4S10_01522,Transcriptional regulator,75,1053
A0A0T7PLK3,embA,Integral membrane indolylacetylinositol arabinosyltransferase EmbA (Arabinosylin,157,1054
A0A0T9EZD7,ERS007679_03576,Uncharacterized protein,140,1055
A0A655J7S6,ERS007657_02503,Uncharacterized protein,103,1056
A0A655EIU3,ERS007688_04586,Integral membrane protein,208,1057
A0A0U0URA8,ERS007681_02415,Uncharacterized protein,52,1058
A0A654U3K1,oatA,Acyltransferase,244,1059
A0A0U0SP58,vapC,Ribonuclease VapC,105,1060
A0A654TE25,ERS007657_03231,Uncharacterized protein,67,1061
A0A0T7LHF9,ERS007679_04288,LmbP protein,205,1062
A0A655ADK0,ERS007679_02618,Uncharacterized protein,81,1063
A0A655E334,ERS007657_02462,Uncharacterized protein,324,1064
A0A0T9EPN4,ERS007679_01505,Uncharacterized protein,76,1065
A0A654TU43,rpsH,Small ribosomal subunit protein uS8,53,1066
A0A0E8VM66,A4S10_02933,Uncharacterized protein,71,1067
A0A655A489,ERS007739_04453,Uncharacterized protein,84,1068
A0A654ZPV5,ERS007679_03996,Uncharacterized protein,61,1069
A0A655APQ5,ERS007661_02458,Uncharacterized protein,78,1070
A0A655F935,ERS007661_02707,Uncharacterized protein,194,1071
A0A654TI23,ERS007661_03346,Uncharacterized protein,75,1072
A0A654TIS5,ERS007657_01877,Uncharacterized protein,61,1073
A0A0T9CWC1,ERS007661_04623,Uncharacterized protein,108,1074
A0A655FV41,ERS027646_02425,PE-PGRS family protein,65,1075
A0A655IFD1,ERS007679_03486,Acyl-CoA transferase,247,1076
A0A655IMB7,ERS007720_01420,Carboxylesterase LIPQ,165,1077
A0A654ZPI2,ERS007657_04474,Putative integral membrane protein,55,1078
A0A0T9BPN0,ERS007688_01888,Uncharacterized protein,117,1079
A0A655A196,ERS027659_02421,Peptidase,334,1080
A0A0T9FWD4,ERS007679_02812,Uncharacterized protein,62,1081
A0A0T7PFJ1,ERS007657_01769,Uncharacterized protein,302,1082
A0A655IQK5,ERS007679_03124,Hypothetical alanine rich protein,139,1083
A0A0T9DNY3,ERS007657_03065,Transposase,78,1084
A0A655I5Z5,ERS007657_02371,Uncharacterized protein,202,1085
A0A654TVP7,ERS007679_02282,Uncharacterized protein,143,1086
A0A655G059,ERS007661_04487,Conserved membrane protein of uncharacterized function,99,1087
A0A654ZW87,ERS007661_03142,Uncharacterized protein,76,1088
A0A0T9ZNA0,ERS007657_02910,Uncharacterized protein,110,1089
A0A0U0SEK2,ERS007703_04155,Mutator family transposase,153,1090
A0A0U0SW92,ERS007679_01690,Uncharacterized protein,147,1091
A0A654ZX64,ERS007661_03028,Gcn5-related N-acetyltransferase,168,1092
A0A655JDN5,ERS007661_02152,"Hydrolase, Alpha/beta family",159,1093
A0A655FNL8,ERS027646_03294,Putative transmembrane protein,77,1094
A0A655AE39,ERS007657_01942,Uncharacterized protein,134,1095
A0A0U0U7A1,ERS007703_00897,Uncharacterized protein,147,1096
A0A655JSW0,mog,Molybdopterin biosynthesis protein,117,1097
A0A655D8B5,ppsC_1,Peptide synthetase mbtF,220,1098
A0A0T9ERH6,ERS007679_04471,Uncharacterized protein,118,1099
A0A655IVE3,ERS007679_01721,Membrane-anchored mycosin mycP1,261,1100
A0A0U0S7P1,ERS007657_02847,Uncharacterized protein,83,1101
A0A655FEF0,ERS007657_01384,Uncharacterized protein,127,1102
A0A0E8U391,A4S10_03840,Uncharacterized protein,84,1103
A0A0T7LWS5,ERS007679_02862,Uncharacterized protein,145,1104
A0A655AXT8,eryA_2,Polyketide synthase,84,1105
A0A655FFW3,ERS007720_02291,Uncharacterized protein,209,1106
A0A655JCZ9,ERS007657_03894,Uncharacterized protein,101,1107
A0A0U0T7Z3,menD,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,147,1108
A0A0T9E321,ERS007657_02509,Uncharacterized protein,57,1109
A0A0U0QMY2,ERS007681_03821,Oxidoreductase,95,1110
A0A655IYD2,ERS007741_02046,Lipoprotein,54,1111
A0A655AEK9,ERS007688_04523,Acyl-coenzyme A thioesterase THEM4,145,1112
A0A0T9DTP2,ERS007679_04184,Uncharacterized protein,158,1113
A0A655JH33,infB,Translation initiation factor IF-2,600,1114
A0A654U4L0,ERS007657_03285,Uncharacterized protein,93,1115
A0A0E8VFF3,A4S10_01822,Integral membrane protein,66,1116
A0A654ZQ89,ERS027646_03726,Uncharacterized protein,67,1117
A0A655EFY2,ERS007657_01795,Uncharacterized protein,90,1118
A0A0T7LT35,ERS007681_04731,Acyl-coenzyme A thioesterase THEM4,113,1119
A0A0U0TFS4,ERS007657_02053,Uncharacterized protein,109,1120
A0A654ZXE3,ERS007679_02152,Uncharacterized protein,229,1121
A0A655AE12,ERS027646_04599,Uncharacterized protein,143,1122
A0A654ZM71,ERS007657_03333,Uncharacterized protein,207,1123
A0A654ZYQ3,ERS007679_04435,Uncharacterized protein,189,1124
A0A0T9DGA2,ERS007657_01479,Uncharacterized protein,54,1125
A0A0U0T4D1,ERS007657_01973,Uncharacterized protein,74,1126
A0A654ZTS8,ERS007657_03729,Uncharacterized protein,134,1127
A0A0T7PQX6,fhaA,"Conserved protein with FHA domain, FhaA",56,1128
A0A655J7E2,ERS007720_03186,Uncharacterized protein,167,1129
A0A655A1D9,ERS007718_00904,Uncharacterized protein,325,1130
A0A0T9FWW3,ERS007657_00395,Uncharacterized protein,69,1131
A0A655FJU9,ERS007681_03680,Uncharacterized protein,161,1132
A0A655JB77,ERS007661_03246,Uncharacterized protein,111,1133
A0A0U0TAU2,ERS007703_04920,Uncharacterized protein,54,1134
A0A654U5D0,ERS007657_03339,Uncharacterized protein,56,1135
A0A655F337,ERS007681_02937,Uncharacterized protein,138,1136
A0A0U0RDM0,ERS007661_02316,Uncharacterized protein,79,1137
A0A655F816,ERS007661_01454,Uncharacterized protein,68,1138
A0A654ZXZ6,ERS007657_03805,Uncharacterized protein,117,1139
A0A0T7M1P6,ERS007688_04620,Uncharacterized protein,74,1140
A0A655AJL7,ERS007657_01353,Toxin,67,1141
A0A655IY04,ERS007679_02114,Uncharacterized protein,72,1142
A0A654TXE2,ERS007688_04761,Transmembrane protein,107,1143
A0A0E9A7H0,ERS007679_03128,Glycerate kinase,79,1144
A0A0T9CXH6,ERS007657_03769,Uncharacterized protein,85,1145
A0A655FW10,msrA,peptide-methionine (S)-S-oxide reductase,59,1146
A0A655JDK9,ERS007679_02503,Uncharacterized protein,218,1147
A0A0U0S2X0,ERS007703_03598,Uncharacterized protein,136,1148
A0A655IU25,ERS007679_03305,Uncharacterized protein,116,1149
A0A655F6B5,ERS007661_00932,Uncharacterized protein,132,1150
A0A655F4C9,ERS007661_02491,Putative polyketide synthase Pks17,197,1151
A0A655JI17,ycdF,Oxidoreductase,68,1152
A0A655F6P4,ERS007661_02597,PPE family protein,114,1153
A0A0U0RMG1,prfB,peptide chain release factor 2,265,1154
A0A655AWP8,ERS007739_01743,Uncharacterized protein,65,1155
A0A0T9EMU7,ERS007718_04138,Exported repetitive protein PirG,116,1156
A0A655ABU3,ERS007718_03242,Uncharacterized protein,265,1157
A0A655AKY0,ERS007661_02084,Uncharacterized protein,220,1158
A0A654ZLH6,ERS027646_01078,Uncharacterized protein,52,1159
A0A655J5F1,ERS007679_03770,Uncharacterized protein,58,1160
A0A655AM61,ERS007679_00872,Protein of uncharacterized function (DUF3039),95,1161
A0A655AAX8,ERS007661_01953,Uncharacterized protein,118,1162
A0A0U0S4Y7,ERS007679_02549,PPE family protein,93,1163
A0A655JIB5,ERS007657_01576,Secreted protein,111,1164
A0A655FQ33,ERS007661_03957,Uncharacterized protein,80,1165
A0A655AUS1,ilvG,acetolactate synthase,319,1166
A0A654ZLB0,ERS007661_02824,Uncharacterized protein,90,1167
A0A655IND9,ERS007679_02928,Uncharacterized protein,324,1168
A0A655ARH0,ERS007661_03371,Deazaflavin-dependent nitroreductase,76,1169
A0A0U0S1D1,ERS007657_01896,Uncharacterized protein,70,1170
A0A0U0T642,ERS007661_04631,Uncharacterized protein,83,1171
A0A655F809,ERS007661_01340,Uncharacterized protein,74,1172
A0A654U1U0,ethR_2,TetR family transcriptional regulator,173,1173
A0A655FJX0,ERS007661_03131,Uncharacterized protein,75,1174
A0A655ATM0,ERS027646_04697,Uncharacterized protein,58,1175
A0A655DDG5,nuoE,NADH dehydrogenase I subunit E,194,1176
A0A655DZB7,ERS027646_00655,Uncharacterized protein,82,1177
A0A655A4K9,ERS007657_00933,Uncharacterized protein,102,1178
A0A0T9XWS3,ERS007661_00685,Secreted protein,69,1179
A0A654ZGE5,ERS007657_00657,Uncharacterized protein,202,1180
A0A0U0STG3,ERS007679_03906,Uncharacterized protein,61,1181
A0A0U0QTH2,ERS007703_01267,Uncharacterized protein,70,1182
A0A654TV51,mce1F,MCE-family protein MCE1F,174,1183
A0A655JCL5,ERS007661_02662,Uncharacterized protein,277,1184
A0A0T9DX60,ERS007703_04304,Glycosyltransferase,173,1185
A0A655IHE5,narX,Nitrate reductase NarX,272,1186
A0A655FRU3,ERS007657_03496,Uncharacterized protein,55,1187
A0A0U0T188,ERS007657_03691,Uncharacterized protein,111,1188
A0A655FV66,fmu,FMU protein (SUN protein),83,1189
A0A0T7M1P2,ERS007681_04801,Uncharacterized protein,74,1190
A0A655F0C6,ERS007661_02341,Universal stress protein,212,1191
A0A654U678,ERS007657_03832,Secreted protein,102,1192
A0A654ZI67,ERS007679_04717,Glycosyl transferase family protein,78,1193
A0A0U0SS17,ERS007657_00299,Uncharacterized protein,112,1194
A0A0T9EPZ2,CAB90_01313,Secreted protein,70,1195
A0A655AG44,ERS027646_03128,Uncharacterized protein,243,1196
A0A0U0T8P8,ERS007720_04397,Uncharacterized protein,59,1197
A0A655ET70,ERS007661_02102,Putative transmembrane protein,106,1198
A0A655A2J3,ERS007661_04495,Uncharacterized protein,63,1199
A0A654TTG1,ERS007681_04395,Uncharacterized protein,101,1200
A0A654U6J3,ERS007657_03823,Uncharacterized protein,64,1201
A0A655JG35,ERS007681_02924,Uncharacterized protein,157,1202
A0A0U0T7Y2,ERS007657_03361,Uncharacterized protein,74,1203
A0A655AFM4,ERS027659_03392,Uncharacterized protein,88,1204
A0A655AMM5,ERS007739_04486,Uncharacterized protein,99,1205
A0A0T9BG01,ERS007657_00090,Coat protein,88,1206
A0A0T9YU96,CAB90_01593,Uncharacterized protein,51,1207
A0A655EUM3,ERS007657_00629,Putative Zn-dependent protease-like protein,315,1208
A0A654ZRA2,ERS007679_01646,Uncharacterized protein,280,1209
A0A655AH39,ERS027646_02445,Uncharacterized protein,78,1210
A0A655AIY0,ppdK,"Pyruvate, phosphate dikinase PPDK",177,1211
A0A085E8F6,A4S10_01841,PPE family protein,131,1212
A0A655AVF2,ERS007718_04078,Uncharacterized protein,103,1213
A0A654TPP9,ERS007657_02336,Uncharacterized protein,257,1214
A0A655A7P7,ERS007657_03287,Uncharacterized protein,57,1215
A0A655ITM1,ERS007679_03347,Uncharacterized protein,82,1216
A0A0T9ELE2,ERS007657_00282,Uncharacterized protein,60,1217
A0A0T7LUA1,ERS007679_04579,Uncharacterized protein,99,1218
A0A0U0SV83,ERS007703_04908,Uncharacterized protein,112,1219
A0A0U0RA02,ureF,Urease accessory protein UreF,90,1220
A0A654U4V8,ERS007657_03376,Uncharacterized protein,51,1221
A0A655EDU4,ERS007681_03278,Uncharacterized protein,133,1222
A0A654ZE34,ERS007681_04826,Uncharacterized protein,71,1223
A0A0T9EIB7,ERS007679_03266,Uncharacterized protein,138,1224
A0A654TLI1,ERS007681_04732,O-succinylbenzoic acid--CoA ligase,115,1225
A0A0T9YKD5,ERS007657_00598,Uncharacterized protein,55,1226
A0A0U0RNV5,ERS007661_00604,Uncharacterized protein,228,1227
A0A655IRJ0,ERS007657_00058,Uncharacterized protein,63,1228
A0A0T7LV70,ERS007657_04279,Uncharacterized protein,95,1229
A0A655JK60,ERS007679_04618,Uncharacterized protein,72,1230
A0A655FLM4,ERS007661_03089,Uncharacterized protein,69,1231
A0A0U0QWE9,ERS007657_01295,Uncharacterized protein,248,1232
A0A655EDV5,ERS007720_04038,Uncharacterized protein,170,1233
A0A0U0S636,ERS007657_01740,Uncharacterized protein,89,1234
A0A654TQI9,ERS007657_00931,Universal stress protein family,134,1235
A0A654U0A5,ERS007657_01737,Transmembrane protein,409,1236
A0A655CIS5,ERS007679_00011,Deazaflavin-dependent nitroreductase,83,1237
A0A655JJN4,hemY,Protoporphyrinogen oxidase,161,1238
A0A655I2N3,tldD,TldD protein,394,1239
A0A655F0N9,ERS007661_02353,Transcriptional regulator,99,1240
A0A0T7PN47,ERS007657_04577,Membrane protein mmpS3,82,1241
A0A655DRX9,ERS007661_01214,Uncharacterized protein,159,1242
A0A0T7M1G8,ERS007679_04564,Uncharacterized protein,82,1243
A0A655AMW3,ERS007679_02150,Uncharacterized protein,89,1244
A0A655EWM2,ERS007681_02588,Uncharacterized protein,262,1245
A0A0T9XTZ4,ERS007657_01317,Uncharacterized protein,84,1246
A0A655J7Z8,ERS007679_02452,Uncharacterized protein,61,1247
A0A0T9B9B5,rph,Ribonuclease PH,140,1248
A0A654ZRW6,irtB,Drugs-transport transmembrane ATP-binding protein ABC transporter,90,1249
A0A655FGB2,ERS007657_03461,Long-chain acyl-CoA synthetase,200,1250
A0A0T9EG45,ERS007679_03631,Anion transporter ATPase,250,1251
A0A655MR27,ERS007679_01920,Uncharacterized protein,241,1252
A0A655IZS0,ERS007720_02278,Uncharacterized protein,71,1253
A0A655AAK0,ERS007681_00749,Uncharacterized protein,62,1254
A0A655DBD8,ERS007661_01860,Uncharacterized protein,240,1255
A0A654TQL0,ERS007681_03001,Uncharacterized protein,114,1256
A0A655IEA9,sigM,RNA polymerase alternative sigma factor sigM,104,1257
A0A655FNI9,ERS007657_02205,Secreted protein,73,1258
A0A655I175,ERS007679_01659,Uncharacterized protein,90,1259
A0A654TYJ3,ERS007657_01154,Uncharacterized protein,80,1260
A0A654ZJY4,mutA,methylmalonyl-CoA mutase,372,1261
A0A0T7PKV5,ERS007657_03679,Uncharacterized protein,117,1262
A0A655G996,ERS007661_02058,Uncharacterized protein,86,1263
A0A654U144,ERS007657_02039,Uncharacterized protein,82,1264
A0A655FWW3,ERS007661_04506,Uncharacterized protein,78,1265
A0A0T9G5R5,ERS007703_02299,Uncharacterized protein,70,1266
A0A655FTP3,ERS007718_01486,Uncharacterized protein,66,1267
A0A655DZB0,ERS007661_01376,Uncharacterized protein,134,1268
A0A655JDR7,cobM,Precorrin-4 C(11)-methyltransferase,145,1269
A0A655A7H7,gsiA,Dipeptide-transport ATP-binding protein ABC transporter dppD,361,1270
A0A654U0Z0,ERS007657_02017,Uncharacterized protein,113,1271
A0A655AP60,ERS007741_04821,Putative integral membrane alanine and valine and leucine rich protein,97,1272
A0A655DXZ8,ERS007657_02062,Uncharacterized protein,58,1273
A0A654ZTU9,ERS027646_02890,Uncharacterized protein,136,1274
A0A0T7LT84,ERS007681_04744,Uncharacterized protein,60,1275
A0A654ZGV5,ERS027646_02721,Uncharacterized protein,245,1276
A0A0T9DMG0,ERS007661_01963,Uncharacterized protein,87,1277
A0A654U6J2,ERS007657_04027,PPE family protein,108,1278
A0A655J636,ERS007679_03838,Uncharacterized protein,143,1279
