uniprot_id,gene_name,protein_name,seq_length
A0A0U0TAJ5,ERS007703_05202,Uncharacterized protein,50
A0A0U0RUG8,ERS007703_03342,Putative MCE associated membrane protein,51
A0A655ATR3,ERS027659_03951,Uncharacterized protein,196
A0A654TCJ6,ERS007661_03479,Secreted protein,77
A0A655IK33,ERS007688_00381,Uncharacterized protein,59
A0A655IU78,ERS007657_01238,Uncharacterized protein,137
A0A0T9EGE2,ephA,Putative epoxide hydrolase EPHA,64
R4MBK2,J113_06805,Enoyl-CoA hydratase,262
R4MDT0,J113_04485,Exonuclease V subunit beta,421
R4MDZ7,J113_25735,Cytochrome P450 137 cyp137,99
R4M8K8,J113_11995,Biotin carboxylase-like protein,906
R4M4L5,J113_07720,Phosphate starvation-inducible protein,76
R4MLY1,J113_24270,acetolactate synthase,282
R4MG75,J113_06915,Serine protease,327
R4M9L2,J113_20390,Phenolpthiocerol synthesis type-I polyketide synthase PPSD,458
R4MDE5,J113_00310,Transcription regulator PadR N-terminal domain-containing protein,202
R4MC54,J113_20795,ATP-polyphosphate phosphotransferase,439
R4MKG7,J113_20800,Polyphosphate kinase,291
R4M957,J113_13215,Oxidoreductase FADB5,135
R4MA31,J113_03415,Lipoprotein,234
R4MDB1,J113_10690,Polyketide synthase pks5,562
R4MK85,J113_20330,Phenolpthiocerol synthesis type-I polyketide synthase ppsA,1028
R4MCW2,J113_09575,Bifunctional pyrimidine regulatory protein PyrR uracil phosphoribosyltransferase,189
R4M6T0,J113_07245,Sensor protein,334
R4M5Q2,J113_10575,Methyltransferase FkbM domain-containing protein,165
R4MHZ0,J113_11040,PhiRv1 integrase,213
R4MKW7,chdC,Coproheme decarboxylase,211
R4M787,J113_08475,Glucosyl-3-phosphoglycerate synthase,264
R4MGT6,J113_18725,TRK system potassium uptake protein,171
R4MDN8,J113_24815,Short chain dehydrogenase,204
R4MML0,J113_22930,biotin carboxylase,204
R4MN13,J113_23820,FAD-dependent urate hydroxylase HpyO/Asp monooxygenase CreE-like FAD/NAD(P)-bind,149
R4MCF0,J113_21595,Acyl-CoA dehydrogenase C-terminal domain-containing protein,287
R4MGM9,J113_07905,Pyruvate phosphate dikinase,424
R4MFU6,J113_09185,Adenylate cyclase,179
R4MLQ1,J113_20520,Polyketide synthase,96
R4M9I5,J113_13875,PIN domain-containing protein,112
R4MBG5,J113_25020,Putative acyl-CoA dehydrogenase FadE34,94
R4MG27,J113_09735,Lipase lipH,169
R4MKS5,J113_18345,3'-phosphate/5'-hydroxy nucleic acid ligase,370
R4M6X9,glyA,Serine hydroxymethyltransferase,234
R4MHH1,J113_13340,Uncharacterized protein,104
R4MHY8,J113_14465,ATP-dependent DNA helicase HelY,224
R4MEY5,J113_14090,Polyketide synthase,1510
R4MIT7,J113_23585,Pyridoxamine 5'-phosphate oxidase putative domain-containing protein,213
R4M9S4,J113_20720,Fatty acid kinase subunit A-like C-terminal domain-containing protein,320
R4MH98,J113_12930,Acyl-CoA transferase,326
R4MMG9,J113_25740,Cytochrome P450 137 cyp137,362
R4MF88,J113_07775,Carboxylesterase type B domain-containing protein,386
R4MK73,J113_16790,ComEC/Rec2-related protein domain-containing protein,336
R4MAI9,J113_04715,PIN domain-containing protein,114
R4M6S5,J113_13245,Isocitrase,369
R4MM01,J113_21315,Acyl-CoA dehydrogenase fadE22,495
R4MA06,J113_15390,lipoyl(octanoyl) transferase,176
R4MM88,J113_21945,NADH dehydrogenase subunit G,704
R4MK83,J113_16860,AAA+ ATPase domain-containing protein,289
R4M4J8,J113_01710,Acetyl-CoA acetyltransferase,431
R4M4E0,J113_07105,Putative resuscitation-promoting factor RpfB,144
R4MBM7,J113_07040,Alkylated DNA repair protein,170
R4MBQ2,J113_07235,histidine kinase,206
R4MGZ7,J113_19085,DNA translocase FtsK,729
R4MHJ6,J113_09855,Alanine racemase,100
R4MBE1,J113_18975,(Dimethylallyl)adenosine tRNA methylthiotransferase,462
R4M8M8,ruvC,Crossover junction endodeoxyribonuclease RuvC,186
R4MDU9,J113_12015,Oxidoreductase,267
R4MAU1,J113_05355,histidine kinase,209
R4MI48,J113_11490,acetylglutamate kinase,118
R4MC63,gltX,glutamate--tRNA ligase,382
R4MGN8,J113_18350,3'-phosphate/5'-hydroxy nucleic acid ligase,132
R4M6Q1,J113_06980,Molybdopterin molybdenumtransferase,224
R4MAX7,J113_17580,Fatty acid synthase,147
R4M1X2,J113_01255,MCE associated membrane protein,188
R4MFJ3,J113_08550,Putative tetronasin-transport ATP-binding protein ABC transporter,71
R4MKT9,J113_18420,Arsenical resistance operon repressor,181
R4MC98,J113_08515,Hydrolase,554
R4MLW8,truA,tRNA pseudouridine synthase A,208
R4M8L1,J113_17970,2-dehydropantoate 2-reductase,132
R4M4F0,eno,Enolase,194
R4MJ69,J113_17740,chorismate synthase,282
R4MA87,J113_22075,Amine oxidase,179
R4MFC9,J113_15210,GIY-YIG domain-containing protein,437
R4MJ00,J113_13585,Virulence factor Mce family protein,307
R4MEY7,J113_04090,ribonucleoside-diphosphate reductase,338
R4MAK0,J113_23005,ATP-dependent helicase lhr,367
R4M744,narZ,Nitrate reductase Z subunit alpha,286
R4M8F7,pheS,phenylalanine--tRNA ligase,272
R4MJP6,J113_25180,ATP-dependent protease ATP-binding subunit clpC1,678
R4MGF1,J113_10705,Alcohol dehydrogenase adh,213
R4MLJ1,J113_23550,histidine kinase,539
R4MC53,J113_26765,Polyketide synthase pks2,238
R4MF78,J113_14825,Dihydroorotate dehydrogenase 2,128
R4MLM5,J113_23745,Uncharacterized protein,188
R4MPL7,J113_27220,Transglycosylase,211
R4MIA2,J113_12080,Nitrate reductase,468
R4MKE9,J113_20655,Methyltransferase,88
R4M6H9,J113_12775,CNNM transmembrane domain-containing protein,489
R4M239,fabG,3-ketoacyl-(Acyl-carrier-protein) reductase,430
R4MDC4,J113_10775,Pseudouridine synthase,226
R4MCU8,J113_22800,Cell envelope-related transcriptional attenuator domain-containing protein,354
R4MHU4,J113_14080,Polyketide synthase Pks12,1194
R4MC21,J113_08030,Methyltransferase type 11 domain-containing protein,218
R4ML69,J113_19330,Uncharacterized protein,414
R4MBP9,eno,Enolase,265
R4MD63,J113_23740,Uncharacterized protein,257
R4MGI8,J113_10960,8-amino-7-oxononanoate synthase,192
R4M250,J113_01790,Nitrite reductase (NAD(P)H) large subunit,265
R4MAR4,valS,valine--tRNA ligase,509
R4M5E0,J113_03655,Membrane acyltransferase,202
R4MAA3,J113_04095,Dienelactone hydrolase domain-containing protein,323
R4MG81,J113_17040,Saccharopine dehydrogenase,315
R4MA62,J113_21860,Monophosphatase,169
R4M7H7,rho,Transcription termination factor Rho,364
R4M8X3,J113_12780,GMP reductase,252
R4MAH8,J113_22840,CoA transferase,197
R4MLN2,J113_23815,FAD-dependent urate hydroxylase HpyO FAD/NAD(P)-binding domain-containing protei,385
R4MIK8,J113_23050,Pseudouridine synthase,72
R4MA47,J113_03550,DAGKc domain-containing protein,133
R4MF36,J113_14565,Helicase helZ,225
R4MJ59,J113_17605,[acyl-carrier-protein] S-malonyltransferase,247
R4MBB6,sigA,RNA polymerase sigma factor SigA,377
R4MF57,J113_04515,Exodeoxyribonuclease V subunit gamma,369
R4M3T2,J113_05750,mycothiol synthase,278
R4M903,J113_12925,Uncharacterized protein,327
R4MHX1,J113_21285,DNA-directed DNA polymerase,267
R4MCA0,J113_21095,L-ornithine N(alpha)-acyltransferase,254
R4MBA2,J113_24405,MCE-family protein,269
R4MH77,ureA,Urease subunit gamma,63
R4MJJ4,J113_15180,Mannosyltransferase PimB,167
R4M1X7,J113_01305,RNA polymerase sigma factor,291
R4MG59,J113_06735,PIN domain-containing protein,60
R4ME84,J113_26350,Lipase LIPE,166
R4MDM0,J113_11385,Esterase,432
R4M8U7,J113_18625,Protoporphyrinogen oxidase,248
R4M8G6,J113_17520,Lipoprotein LppS,304
R4M9A0,J113_19645,DDH domain-containing protein,297
R4MM22,J113_21505,Putative zinc-type alcohol dehydrogenase AdhD (Aldehyde reductase),380
R4MBQ1,J113_25705,Putative bifunctional membrane-associated penicillin-binding protein 1A/1B PonA2,255
R4MDP5,J113_11540,argininosuccinate lyase,463
R4MMR5,J113_23265,Sugar transporter family protein,103
R4MBH1,fabG,3-ketoacyl-(Acyl-carrier-protein) reductase,75
R4M9R0,J113_02720,Chaperone protein ClpB,553
R4M4L1,J113_07675,Pantothenate kinase,100
R4MH72,J113_12785,GMP reductase,228
R4MHU2,J113_10710,Alcohol dehydrogenase,153
R4MLJ4,J113_20195,Helicase ATP-binding domain-containing protein,398
R4ME23,J113_02080,FtsK domain-containing protein,898
R4MIY8,J113_23955,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,123
R4MMN1,J113_23045,Pseudouridine synthase RsuA/RluA-like domain-containing protein,188
R4MEA8,J113_26585,Polyketide synthase PKS13,515
R4MDG6,J113_24265,acetolactate synthase,274
R4MHA3,J113_12955,Uncharacterized protein,179
R4MCA6,J113_08560,Methyltransferase,112
R4MCT6,J113_02075,Uncharacterized protein,456
R4MAY1,J113_17625,Fatty acid synthase,487
R4MG13,J113_16795,Competence protein ComEA helix-hairpin-helix repeat region,432
R4MLK4,J113_20285,Formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase,209
R4M2W4,J113_03530,exopolyphosphatase,190
R4MEI1,J113_13300,Lipoprotein,386
R4MDM6,J113_24720,4-hydroxy-2-oxovalerate aldolase,231
R4MG71,J113_06880,40-residue YVTN family beta-propeller,346
R4MKM7,aspS,Aspartyl-tRNA ligase,145
R4MDB7,J113_00110,non-specific serine/threonine protein kinase,375
R4MHP2,J113_13740,Metal cation transporter P-type ATPase,186
R4MI17,J113_14720,5-methyltetrahydrofolate--homocystein methyltransferase,342
R4MMZ3,pheA,Prephenate dehydratase,269
R4MGS1,J113_18585,AB hydrolase-1 domain-containing protein,424
R4MDG7,J113_03660,Membrane acyltransferase,182
R4M9U2,J113_20865,D-3-phosphoglycerate dehydrogenase,420
R4M2K6,J113_02880,Membrane bound polyketide synthase,437
R4ML72,J113_22805,LytR/CpsA/Psr regulator C-terminal domain-containing protein,212
R4ME32,J113_26020,Uncharacterized protein,712
R4MJN9,J113_15520,Aminotransferase,655
R4MPH4,J113_27080,CobQ/CobB/MinD/ParA nucleotide binding domain-containing protein,308
R4MAI0,J113_04620,Alpha-mannosidase,355
R4MJH2,J113_24615,Coenzyme F420-dependent oxidoreductase,264
R4M4M4,J113_01945,Acyl-CoA synthetase,382
R4M3N5,J113_05455,Bifunctional cephalosporin acylase/gamma-glutamyltranspeptidase,407
R4MMR7,J113_26330,Aminotransferase,225
R4M4U1,J113_02355,ArsR family transcriptional regulator,89
R4MF93,murC,UDP-N-acetylmuramate--L-alanine ligase,394
R4M4Z6,J113_08625,Membrane protein,310
R4MA78,J113_03825,UDP-glucose 4-epimerase galE3,355
R4MDZ4,J113_25710,Bifunctional membrane-associatedpenicillin-binding protein 1A/1B,378
R4M916,J113_19090,ABM domain-containing protein,211
R4MEZ0,ispE,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,418
R4MLL4,J113_20335,Phenolpthiocerol synthesis polyketide synthase PpsA,303
R4MLL7,J113_23685,Antitoxin,78
R4MCG5,J113_01165,Oxidoreductase,449
R4MMM8,J113_26090,Threonine/serine exporter-like N-terminal domain-containing protein,137
R4MBQ4,J113_25730,Putative lyase,361
R4MIL5,J113_16135,HTH marR-type domain-containing protein,162
R4MET9,J113_03770,CobQ/CobB/MinD/ParA nucleotide binding domain-containing protein,164
R4MG67,J113_09945,Esterase,237
R4M3D1,J113_04850,elongation factor G,539
R4ME14,J113_25890,2-isopropylmalate synthase,74
R4MHJ0,J113_09740,Lipase,160
R4MCT1,J113_02050,SAM-dependent methyltransferase,163
R4MEA1,J113_05585,Oxidoreductase,131
R4MN50,J113_27205,ESX conserved componant EccC2,404
R4M7E0,J113_14830,Dihydroorotate dehydrogenase 2,147
R4M908,J113_12950,NAD-dependent epimerase/dehydratase domain-containing protein,553
R4MIP1,J113_23270,Sugar-transport integral membrane protein sugI,333
R4MCX3,J113_23010,Putative ATP-dependent helicase Lhr (Large helicase-related protein),362
R4MNW0,egtD,Histidine N-alpha-methyltransferase,707
R4MDQ3,J113_01100,Acyl-CoA dehydrogenase,275
R4MIH2,J113_22835,CoA transferase,154
R4MI76,J113_22070,Amine oxidase,97
R4MG66,J113_16940,Gamma-glutamyl kinase,60
R4MP24,J113_26200,Prephenate dehydrogenase,140
R4MII7,J113_22935,biotin carboxylase,308
R4ME42,J113_26085,Threonine/serine exporter-like N-terminal domain-containing protein,226
R4MBZ1,J113_26345,Lipase LIPE,202
R4M5M0,J113_04410,Galactose-1-phosphate uridylyltransferase,383
R4M264,J113_01940,Acyl-CoA synthetase,203
R4M9B1,J113_01785,Nitrite reductase (NAD(P)H) large subunit,157
R4MBV8,J113_20275,acylphosphatase,340
R4M9D8,J113_19950,Integral membrane protein,222
R4M876,J113_10760,DNA-directed DNA polymerase,231
R4MAA4,J113_22215,Luciferase-like domain-containing protein,109
R4MEN8,J113_03450,Mannosyltransferase,184
R4M2Q6,J113_03050,Uncharacterized protein,110
R4M7J1,J113_15215,Uncharacterized protein,224
R4MK99,J113_20515,Polyketide synthase PKS1,844
R4MFH0,J113_08370,Acyl-CoA synthetase,426
R4MJ22,J113_13745,Metal cation transporting P-type ATPase ctpG,527
R4MD79,J113_10355,Enoyl-(Acyl carrier protein) reductase,229
R4MKK2,J113_17745,Chorismate synthase,63
R4MHS8,J113_13955,Cation diffusion facilitator family transporter,228
R4MAA6,J113_16115,Transmembrane ATP-binding protein ABCtransporter,550
R4M7L3,J113_15375,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex,552
R4M1Y2,J113_01330,O-methyltransferase,177
R4MHT6,J113_10685,Polyketide synthase pks5,95
R4M4K8,J113_01795,assimilatory sulfite reductase (ferredoxin),374
R4MBX2,J113_20405,Phenolpthiocerol synthesis type-I polyketide synthase ppsE,313
R4ML07,J113_22345,Lipase,225
R4MHH0,J113_20385,Phenolpthiocerol synthesis type-I polyketidesynthase,978
R4MHP9,gpsA,Glycerol-3-phosphate dehydrogenase [NAD(P)+],333
R4M322,J113_04100,Phosphoribosyltransferase domain-containing protein,120
R4M7F1,murC,UDP-N-acetylmuramate--L-alanine ligase,110
R4MFL0,J113_05435,Dehydrogenase/reductase,91
R4MKC4,J113_17035,Saccharopine dehydrogenase,117
R4M9Q8,J113_20555,Saccharopine dehydrogenase NADP binding domain-containing protein,83
R4M5C6,J113_03535,exopolyphosphatase,150
R4MAY8,aroK,Shikimate kinase,235
R4MC46,J113_20725,DhaL domain-containing protein,107
R4MH78,J113_19640,DHHA1 domain-containing protein,115
R4MF79,J113_04615,Alpha-mannosidase,201
R4M3V8,J113_05885,Integral membrane protein,293
R4MJG3,ftsQ,Cell division protein FtsQ,261
R4ML19,J113_22395,RNA helicase,404
R4M796,J113_08545,Tetronasin-transport ATP-binding protein ABCtransporter,246
R4MIT1,J113_13175,D-amino-acid oxidase,149
R4MGY8,J113_08580,Heat shock protein HtrA,362
R4M6Z9,J113_13570,Virulence factor mce family protein,252
R4MBN7,J113_07100,Resuscitation-promoting factor rpfB,216
R4MC56,J113_08250,Aminotransferase,329
R4MK59,J113_16690,Sulfate ABC transporter ATP-binding protein,289
R4MH50,J113_19495,ATPase AAA,142
R4M5H5,J113_04020,Heptaprenyl diphosphate synthase component 2,151
R4M6C1,J113_06090,Cold shock protein B cspB,95
R4MBW4,coaA,Pantothenate kinase,204
R4MBW7,J113_20325,Phenolpthiocerol synthesis polyketide synthase PpsA,493
R4MDH7,J113_03765,CobQ/CobB/MinD/ParA nucleotide binding domain-containing protein,253
R4M4C2,J113_06975,Molybdopterin molybdenumtransferase,189
R4MGA1,J113_10250,Cation transporter P-type ATPase D,84
R4MH94,J113_19780,Mycothione reductase,92
R4MDP7,J113_24945,Acyl-CoA dehydrogenase,293
R4M2D0,J113_02350,ArsR family transcriptional regulator,156
R4M4F5,J113_07240,Sensor protein kdpD,289
R4MHJ7,J113_20525,Polyketide synthase,356
R4MNA5,rnpA,ribonuclease P protein component,98
R4M9A8,J113_19760,PE-PGRS family protein,251
R4M803,tpiA,Triosephosphate isomerase,316
R4MJF9,sepF,Cell division protein SepF,116
R4MGX0,J113_18930,Putative GTP-binding protein HflX,234
R4MIK3,J113_23025,Putative ATP-dependent helicase Lhr (Large helicase-related protein),220
R4MJ03,valS,valine--tRNA ligase,68
R4MCD6,J113_21410,Luciferase-like domain-containing protein,133
R4MBL7,J113_25390,Transmembrane protein,287
R4MF47,J113_04420,Uncharacterized protein,114
R4MAR3,J113_23385,PE PGRS family protein,154
R4MEG1,J113_13180,D-amino acid oxidase,138
R4MN70,glmM,Phosphoglucosamine mutase,61
R4ME77,J113_05465,HTH tetR-type domain-containing protein,168
R4M7L7,J113_15450,Glutamine synthetase,318
R4M794,J113_14385,Uncharacterized protein,101
R4MD11,J113_09755,Uncharacterized protein,60
R4MH58,J113_08990,BadM/Rrf2 family transcriptional regulator,128
R4MC79,J113_26885,Uncharacterized protein,56
R4M881,J113_10825,Uncharacterized protein,89
R4MEW6,J113_03925,Short chain dehydrogenase,211
R4MK86,J113_26535,Arabinosyltransferase B,728
R4MN74,J113_24120,Type VII secretion-associated protein,332
R4MEI5,J113_06165,Transmembrane protein,65
R4MKG0,J113_17335,PE-PGRS family protein,275
R4ML84,J113_19435,N-acetyltransferase domain-containing protein,168
R4MAJ6,J113_04785,Enoyl-CoA hydratase,220
R4MDY5,J113_01695,Metal-binding domain of MaoC dehydratase family protein,302
R4MIH5,J113_15920,Thiosulfate sulfurtransferase,150
R4MN29,J113_27075,PE-PGRS family protein,139
R4MBP1,J113_07125,Long-chain-fatty-acid--CoA ligase,229
R4MLC4,J113_19740,Magnesium chelatase,78
R4MLW5,J113_24170,Uncharacterized protein,97
R4MAF9,J113_04450,Uncharacterized protein,262
R4MH66,J113_19580,Uncharacterized protein,62
R4MBS1,J113_25845,Uncharacterized protein,65
R4MHF8,J113_20290,Formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase,60
R4M4B9,J113_01125,NAD(P) transhydrogenase subunit alpha,70
R4MDL1,J113_24600,"Cullin, a subunit of E3 ubiquitin ligase",111
R4MDJ3,J113_03880,Integral membrane protein,375
R4MES2,J113_03640,Transmembrane protein,237
R4MMS3,J113_26355,Uncharacterized protein,73
R4M9H6,J113_13785,P-type HAD superfamily ATPase,191
R4MAK7,J113_04845,Elongation factor G,183
R4MCV6,J113_02210,PPE family protein,120
R4M827,J113_10235,PE-PGRS family protein,333
R4MDR2,J113_01170,Zinc-type alcohol dehydrogenase (E subunit) adhE,280
R4MK75,J113_26375,Oxidoreductase,202
R4MCV1,J113_22845,Uncharacterized protein,62
R4MC78,J113_00380,Uncharacterized protein,95
R4MDE0,J113_03445,Glycosyltransferase MshA,179
R4M5Q0,J113_04645,Sugar kinase,253
R4M723,J113_08015,Short-chain type dehydrogenase/reductase,175
R4M205,J113_01490,Uncharacterized protein,237
R4ME47,J113_05320,PE-PGRS family protein,155
R4M9P5,J113_14525,PE-PGRS family protein,201
R4MPJ2,J113_27175,PPE family protein,155
R4M5F9,J113_03840,Uncharacterized protein,114
R4MC68,J113_20870,Uncharacterized protein,97
R4MIS4,J113_16660,Ferrochelatase,83
R4MI40,J113_14900,Uncharacterized protein,118
R4MBE9,J113_19040,PE-PGRS family protein,58
R4MIS1,J113_23460,PPE family protein,199
R4M4R0,J113_08035,Uncharacterized protein,85
R4MDH3,J113_11045,Recombinase domain-containing protein,584
R4MIR1,J113_23380,PE-PGRS family protein,108
R4MAS0,J113_23425,PPE family protein,1005
R4MCR4,J113_01880,Putative 5-oxoprolinase OplA (5-oxo-l-prolinase) (Pyroglutamase) (5-opase),93
R4MF51,J113_07485,PE-PGRS family protein,160
R4M5C2,J113_03510,Uncharacterized protein,57
R4M6Y1,J113_13410,Short-chain type dehydrogenase/reductase,220
R4M8R9,J113_12380,4-alpha-glucanotransferase,338
R4MDV8,J113_01505,Uncharacterized protein,93
R4MEM8,J113_27295,Nudix hydrolase domain-containing protein,150
R4MGJ3,J113_10985,Uncharacterized protein,110
R4M4B0,J113_06900,PE PGRS family protein,93
R4MIM3,J113_12860,NADH:ubiquinone reductase (non-electrogenic),339
R4MK01,J113_16225,Transmembrane protein,84
R4MDP0,J113_24865,Restriction endonuclease type II-like domain-containing protein,137
R4MK26,J113_19910,1-deoxy-D-xylulose-5-phosphate reductoisomerase,288
R4MM36,J113_24725,Acetaldehyde dehydrogenase,179
R4MEP8,J113_03520,GntR family transcriptional regulator,184
R4MJQ3,J113_15665,Uncharacterized protein,110
R4MF80,glyA,Serine hydroxymethyltransferase,52
R4MI43,pheT,Phenylalanyl-tRNA ligase subunit beta,75
R4MB14,J113_23935,N(6)-L-threonylcarbamoyladenine synthase,307
R4MHE6,J113_13220,Oxidoreductase,59
R4MHX7,bioD,Dithiobiotin synthetase,99
R4M9Y2,J113_21230,alcohol dehydrogenase (NADP(+)),382
R4MA75,J113_03800,PE-PGRS family protein,162
R4MBN2,J113_07065,Uncharacterized protein,268
R4M7P6,J113_15780,Molecular chaperone,455
R4MM13,J113_24530,PE-PGRS family protein,313
R4MH92,J113_12905,alcohol dehydrogenase,384
R4MEV0,J113_06875,PE-PGRS family protein,269
R4MD24,J113_02770,PPE family protein,292
R4M2Y7,J113_03740,Uncharacterized protein,102
R4MGS6,J113_18620,Protoporphyrinogen oxidase,169
R4MEB3,J113_12940,Acetyl-CoA acetyltransferase,148
R4M7Y2,J113_16325,PPE family protein,264
R4M9M1,cobH,Precorrin-8X methylmutase,105
R4MI79,J113_15200,NLP/P60 family protein,338
R4MCN6,J113_01655,Transmembrane protein,134
R4MDE4,J113_24075,Uncharacterized protein,412
R4MIN6,J113_23225,Transposase,59
R4MC88,J113_21000,ACT domain-containing protein,119
R4MDF9,J113_00385,"Endo-1,4-beta-glucanase",96
R4MLU0,J113_20830,Class I SAM-dependent methyltransferase,221
R4MMT1,J113_23350,PPE family protein,401
R4ML83,J113_22890,biotin--[biotin carboxyl-carrier protein] ligase,158
R4MML2,J113_26000,Dehydrogenase,130
R4MI04,J113_21575,Integral membrane protein,284
R4MIC0,J113_15515,"Dinuclear metal center protein, YbgI/SA1388 family",85
R4MHZ4,J113_21475,AraC family transcriptional regulator,255
R4MBC3,J113_24595,Uncharacterized protein,69
R4M9E7,J113_13575,Uncharacterized protein,166
R4M7S8,J113_09605,carbamoyl-phosphate synthase (glutamine-hydrolyzing),294
R4MM09,J113_24495,PE-PGRS family protein,322
R4MFX9,J113_16520,Peptide synthetase MbtE (Peptide synthase),362
R4M5H4,J113_09760,YhhN-like protein,158
R4M8X5,J113_00845,Oxalyl-CoA decarboxylase,211
R4M5S1,ileS,Isoleucyl-tRNA ligase,51
R4M5B3,J113_03425,Short-chain type oxidoreductase,228
R4MJ23,J113_17185,NAD-dependent glutamate dehydrogenase,743
R4MCR9,J113_01960,Alpha/beta hydrolase,110
R4MC17,J113_26580,Polyketide synthase,299
R4MDZ2,J113_01780,Nitrite reductase (NAD(P)H) large subunit,52
R4MEU4,J113_03795,PE-PGRS family protein,251
R4MGC4,J113_10485,NUDIX hydrolase,100
R4MJ36,J113_17330,PE-PGRS family protein,214
R4ML61,J113_22700,Mannose-6-phosphate isomerase,256
R4MJN6,J113_25120,Uncharacterized protein,84
R4MN97,J113_24300,PE family protein,538
R4MCJ1,J113_27325,RNA polymerase sigma factor SigM,179
R4MGM8,J113_11240,Putative component linked with the assembly of cytochrome transport transmembran,368
R4MBX5,J113_26235,Osmoprotectant (Glycine betaine/carnitine/choline/L-proline) transport ATP-bindi,310
R4MIG2,J113_22725,DUF3499 domain-containing protein,169
R4MEW5,J113_06960,5-formyltetrahydrofolate cyclo-ligase,170
R4MDZ3,J113_12265,Truncated IS6110 transposase,116
R4ME57,J113_26190,Cytidine/deoxycytidylate deaminase,155
R4MND0,J113_24560,PE-PGRS family protein,89
R4MJC5,J113_14635,Proteasome accessory factor PafA2,322
R4MGM7,thrS,Threonine--tRNA ligase,692
R4MJA6,secD,Protein translocase subunit SecD,453
R4MI27,J113_11345,Major facilitator superfamily (MFS) profile domain-containing protein,469
R4MB69,J113_24160,Uncharacterized protein,167
R4MDH4,J113_24315,diacylglycerol O-acyltransferase,383
R4MCL5,J113_01500,Transmembrane protein,236
R4MEA9,J113_02615,Zeta toxin domain-containing protein,158
R4MBS7,J113_20005,Transcriptional regulatory protein,120
R4M9V1,J113_15020,PE-PGRS family protein,152
R4MEP7,J113_13625,YacP-like NYN domain protein,101
R4MB33,J113_05820,Collagen triple helix repeat-containing protein,539
R4MG10,J113_09610,Carbamoyl phosphate synthase small subunit,79
R4M4P5,J113_07950,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,506
R4MD76,J113_03035,Putative metal cation transporting P-type ATPase CtpH,532
R4M8W3,dut,dUTP diphosphatase,98
R4MJM6,J113_25050,Metallo-beta-lactamase domain-containing protein,272
R4MM99,J113_25230,DUF6779 domain-containing protein,128
R4MP06,J113_26095,Transmembrane protein,53
R4M6K3,J113_06490,Manganese transport protein MntH,242
R4MKU9,J113_18495,PhiRv2 prophage protein,100
R4MGY3,J113_12195,Phospholipase C 4 (MTP40 antigen),273
R4MJ27,J113_13770,P-type HAD superfamily ATPase,276
R4MN93,J113_27300,Secreted protein,287
R4MKK0,J113_21050,Uncharacterized protein,53
R4MLG4,J113_23370,PE-PGRS family protein,236
R4M6R1,J113_07075,Uncharacterized protein,370
R4MDK9,J113_00750,Cation-transporter ATPase I CtpI,140
R4M741,J113_13895,Transposase,189
R4MA43,J113_15740,Pyruvate-formate lyase,228
R4MG77,J113_10070,Uncharacterized protein,189
R4M7G2,J113_15040,16S rRNA m(4)C1402 methyltransferase,211
R4M6W1,J113_07480,PE-PGRS family protein,444
R4M773,J113_08365,Uncharacterized protein,51
R4MBR9,J113_19955,Integral membrane protein,72
R4MIU2,J113_13260,Ppe family protein,138
R4M5V1,J113_10975,Uncharacterized protein,111
R4MJU0,J113_19325,T7SS ESX-1 secretion system protein EccA1-like N-terminal domain-containing prot,161
R4MDU6,tilS,tRNA(Ile)-lysidine synthase,872
R4ML27,J113_19055,Uncharacterized protein,109
R4ME07,J113_01965,Uncharacterized protein,99
R4MH53,J113_12665,Membrane associated protein,262
R4MLC6,deoA,Thymidine phosphorylase,237
R4MIE7,J113_15745,Zinc-dependent alcohol dehydrogenase,111
R4MBY7,J113_07850,Adenylate and guanylate cyclase catalytic domain-containing protein,135
R4MCB7,J113_00710,ATPase P,292
R4MBI5,J113_25185,Negative regulator of genetic competence ClpC/mecB,191
R4MIT3,J113_23560,Uncharacterized protein,115
R4MJM4,J113_15355,Multifunctional aminopeptidase A,126
R4M2E3,J113_02445,Isoniazid inducible protein,105
R4ME13,J113_12395,Uncharacterized protein,157
R4MEY0,J113_07055,Glycosyl transferase family protein,178
R4MBC7,J113_24620,Uncharacterized protein,63
R4MCK5,J113_01440,Haemophore haem-binding domain-containing protein,121
R4M412,J113_00125,Uncharacterized protein,131
R4MAD5,J113_16330,PPE family protein,152
R4MDS1,J113_04415,Galactokinase,94
R4MM26,J113_24640,Acetyl-CoA acetyltransferase,64
R4MI46,J113_21855,Uncharacterized protein,79
R4MAU6,J113_17280,PE_PGRS family protein,230
R4M2L1,thiE,Thiamine-phosphate synthase,280
R4M8Q2,J113_00210,Transposase,109
R4MEW1,J113_03885,Integral membrane protein,120
R4MDG3,J113_03635,Delta-aminolevulinic acid dehydratase,79
R4MKP1,J113_27225,Uncharacterized protein,96
R4M5X4,J113_05195,Uncharacterized protein,61
